
Date Downloaded,State,TDU Service Territory,Zip,Supplier Name,Plan Name,Variable Rate 500kWh,Variable Rate 1000kWh,Variable Rate 2000kWh,Rate Type,Contract Term,Cancellation Fee,Termination Fee Details,Percent Renewable,Fact Sheet Name,Terms of Services Name,URL,Fact Sheet,Terms of Service,Enroll Phone,Additional Fees,Minimum Usage Fee,Renewal Details,Base Charge,Energy Charge,Delivery Charge, Company Rating
12/6/2019,TX,TEXAS-NEW MEXICO POWER COMPANY,75003,CHAMPION ENERGY SERVICES LLC,Champ Saver-18,13.3 cents,12.5 cents,12.1 cents,Fixed,18 months,$250.00,$250.00   If applicable Champion will assess the termination fee for  termination of service prior to the end of the contract term.,16%,PDFs/CHAMPION ENERGY SERVICES LLC.pdf,Terms of Services/CHAMPION ENERGY SERVICES LLC.pdf,https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose,https://docs.championenergyservices.com/ExternalDocs?planname=PN2436&state=TX&language=EN,https://web.championenergyservices.com/Portals/0/Documents/FulfillmentDocuments_TX/Residential/TOS/TEXAS_TOS_050118.pdf,(877) 653-5090,    What other fees may I be charged?,  ,  ,$0.00,6.9,,5,
12/6/2019,TX,TEXAS-NEW MEXICO POWER COMPANY,75003,INFINITE ENERGY,6 Month Simple Plan,9.6 cents,8.8 cents,8.4 cents,Fixed,6 months,$100.00,yourcontract an Early Termination Fee of $100.00 will apply.,4%,PDFs/INFINITE ENERGY.pdf,Terms of Services/INFINITE ENERGY.pdf,https://signup.infiniteenergy.com/?promoCode=PTC&utm_source=Power%20to%20Choose&utm_medium=enroll&utm_campaign=Simple%20Plan&utm_term=6&utm_content=Signup,https://api.infiniteenergy.com/enrollments/pdf/electricity-facts-label?businessEntityAliasId=2&ldcName=TNMP&rateDescriptor=6-Month%20Simple&promoCode=PTC,https://api.infiniteenergy.com/enrollments/pdf/IE/terms-of-service?languagePreference=en_US,(877) 928-8766,    D ELIVERY  C HARGES : Includes all TDU recurring charges that are billed on a per unit basis  such as   the Transmission System  Charge Distribution System Charge Transition Charge(s)  and similar charges .  Each  party   will  indemnify and hold harmless the other from all taxes royalties fees or other charges incurred with respect to the Service  to which it has  title;  you   are responsible for any taxes fees or charges imposed simultaneously with the transfer of title.What other fees may I be charged? For a description of all otherfees see the OTHER FEES section of your Terms of Service.,  ,   If  you   are a new Customer  your   Service and  Rate   start date  will be  your   first  meter read following  your   confirmed enrollment   by your TDU ; if  you   are a current Customer  your   Service will continue and  you r   Rate   start  date  will  be  the earlier of (a) the date specified in this Agreement or (b)  the day following the   expiration of  your   existing  Rate .  Once  you r TDU has   qualified  you  as a critical care residential customer the designation is valid for  1   year and  we   will send  you   a renewal application prior to the   expiration of  your   designation.    We   will notif y  you   of all available  renewal  options   n o less than  30   calendar  days  before your   Agreement   end date.     If  Service to any  M ete r   is  t erminated  such  M eter   will   be  subject to an   E arly  T ermination   Fee  unless   such   termination is   ( a )   due to a move to a new premise and  you   have provided s ufficient evidence of  your   move ; ( b ) pursuant  to the MATERIAL CHANGE section or ( c )  initiated   within   14   days before  your   Agreement   expiration date. The terms of any transaction hereunder  will   be kept confidential by the parties hereto for one  year from the expiration of the transaction. ,,3.1718¢,$0.00,4,
12/6/2019,TX,TEXAS-NEW MEXICO POWER COMPANY,75003,PowerNext,PowerNext Fixed 24,12.3 cents,11.8 cents,11.5 cents,Fixed,24 months,$20/month remaining ,Yes PowerNext will assess a termination fee of $20.00,15%,PDFs/PowerNext-2.pdf,Terms of Services/PowerNext-2.pdf,https://mypowernext.com/enrollment?promocode=PTC,https://www.mypowernext.com/EmailHTML/efl.aspx?RateID=628&BrandID=4&PromoCodeID=126,https://www.mypowernext.com/docs/default-source/enrollment-files/tos.pdf,(888) 853-5141,CustomerunderstandsthattheTDUmaychargeanadditionalfeepertheterms ofitsT ariffforaself-selectedswitchandthatCompanywillpass-throughandCustomerwillpayanysuchcostswhich will be passed through without mark-up.Customeris alsoresponsibleforpayinganynonrecurringfeesandchargesfromtheTDUincludingbutnotlimitedtofeesand chargesrelatedtoestablishingdisconnectingreconnectingormaintainingelectricserviceorequipment.00in additiontoanycostschargedtoCompanybytheTDUforsuchservice((a)-(d)collectivelydefinedasFees)taxesor other charges that are assessed to the Customer and excluded from the Price as listed on the Agreement Summary . The above averages exclude non-recurring charges from the TDU other fees as stated in the Terms of Service state and local sales tax the PUC Assessment and gross receipts reimbursements. These fees are not What other fees may ,  ,UnlessspecificallystatedotherwiseCompanymaydelivercopiesof thisAgreementandotheraccountinformationincludingenrollmentconfirmationandAgreementexpirationnotices viaemail.IntheRenewalNoticeCompanywillexplaintherenewaloptions.Thisauthorizationwillremaininef fectfromthe dateCustomerexecutesthisAgreementthroughtheInitialT ermandanyRenewalT erm.Afinaltrue-upwillbemadeiftheaccountisterminatedorthisAgreementexpiresbutsuchtrueupwilloccuratleasteverytwelve(12)billingcycles.TheTDUwillnotifyCustomerandCompanyofthefinaldeterminationofwhetherCustomerhasbeen designatedasCriticalCareCustomeroraChronicConditionCustomerandwhetherCustomerwillreceivearenewal noticeofCustomer Pleasebeaware thatifCustomeractsafterthe14dayshasexpiredaterminationpenaltyshallapply . TheprovisionsofthisAgreementconcerningpaymentlimitationofliability andwaiverswillsurvivetheterminationor expirationofthisAgreement. ,,$4.95,11.3¢,1,
12/6/2019,TX,TEXAS-NEW MEXICO POWER COMPANY,75003,PowerNext,PowerNext 15 Auto ,11.9 cents,11.5 cents,11.3 cents,Fixed,15 months,$20/month remaining ,Yes PowerNext will assess a termination fee of $20.00,15%,PDFs/PowerNext-3.pdf,Terms of Services/PowerNext-3.pdf,https://mypowernext.com/enrollment?promocode=PTC,https://www.mypowernext.com/EmailHTML/efl.aspx?RateID=1005&BrandID=4&PromoCodeID=126&ProductID=610&AccountNumber=&ZipCode=,https://www.mypowernext.com/docs/default-source/enrollment-files/tos.pdf,(888) 853-5141,CustomerunderstandsthattheTDUmaychargeanadditionalfeepertheterms ofitsT ariffforaself-selectedswitchandthatCompanywillpass-throughandCustomerwillpayanysuchcostswhich will be passed through without mark-up.Customeris alsoresponsibleforpayinganynonrecurringfeesandchargesfromtheTDUincludingbutnotlimitedtofeesand chargesrelatedtoestablishingdisconnectingreconnectingormaintainingelectricserviceorequipment.00in additiontoanycostschargedtoCompanybytheTDUforsuchservice((a)-(d)collectivelydefinedasFees)taxesor other charges that are assessed to the Customer and excluded from the Price as listed on the Agreement Summary . The eat above averages exclude non-recurring charges from the TDU other fees as stated in the Terms of Service state and local sales tax the PUC Baas Assessment and gross receipts reimbursements.  Chart What other fees may ,  ,UnlessspecificallystatedotherwiseCompanymaydelivercopiesof thisAgreementandotheraccountinformationincludingenrollmentconfirmationandAgreementexpirationnotices viaemail.IntheRenewalNoticeCompanywillexplaintherenewaloptions.Thisauthorizationwillremaininef fectfromthe dateCustomerexecutesthisAgreementthroughtheInitialT ermandanyRenewalT erm.Afinaltrue-upwillbemadeiftheaccountisterminatedorthisAgreementexpiresbutsuchtrueupwilloccuratleasteverytwelve(12)billingcycles.TheTDUwillnotifyCustomerandCompanyofthefinaldeterminationofwhetherCustomerhasbeen designatedasCriticalCareCustomeroraChronicConditionCustomerandwhetherCustomerwillreceivearenewal noticeofCustomer Pleasebeaware thatifCustomeractsafterthe14dayshasexpiredaterminationpenaltyshallapply . TheprovisionsofthisAgreementconcerningpaymentlimitationofliability andwaiverswillsurvivetheterminationor expirationofthisAgreement. Additionally for selected Value-Added Services: AutoPay you must enroll in Autopay with ACH and successfully process your first automatic payment to receive your discount of $1.,,$4.95,11.2¢,1,
12/6/2019,TX,TEXAS-NEW MEXICO POWER COMPANY,75003,CIRRO ENERGY,Smart Secure 12,13.6 cents,13.6 cents,13.6 cents,Fixed,12 months,$150.00,Yes. $150. This fee does not apply if the customer moves  and provides a forwarding address and other evidence that  may be requested to verify that the customer moved.,10%,PDFs/CIRRO ENERGY.pdf,Terms of Services/CIRRO ENERGY.pdf,https://www.cirroenergy.com/signup/plans?tdsp_code=D0003&promo_code=WA198B&fromLP=ptc,https://signup.cirroenergy.com/files/090175188211458f.pdf,https://signup.cirroenergy.com/files/0901751880b58ee7.pdf,(844) 417-7180,   You agree to pay non-recurring fees charged by the transmission and di stribution service provider (TDSP) that are necessary to  implement  and Non-recurring fees will appear as separat e line items on your bill. The price non-recurring fees  and Taxes will be reflected on your invoice as Current Charges. What other fees may I be charged? Information  on other non-recurring fees is available in the pricing  section of your Terms of Service.,  , There is also a $30 Disconnect  Recovery Charge if you fail to pay the past due amount before th e expiration date of any disconnection notice issued by Cirro E nergy.  You will not continue to r eceive a bill if the Third  Party Services are scheduled to  cancel automatically when your el ectricity service contract with us is cancelled or terminated .  Automatic Bank Draft:  You may pay your monthly invoice through an automatic bank  draft by completing our Bank Draft Authorization  Form which is available upon request.   Automatic Debit Card Pay : You may select the automatic payment plan using your Visa or MasterCard debit card. The TDSP will notify  you of the final  status of your designation as a Critical Care or Chronic  Condition Residential Customer and will notify you when such designat ion will expire and  whether you will receive a renewal notice.      Contract Expiration Notice              A contract expiration notice will be sent to y ou at least 30 days before the end of your initial contract term spec ified in your EFL.     Contract Expiration Notice              A contract expiration notice will be sent to y ou at least 30 days before the end of your initial contract term spec ified in your EFL. ,,13.6,,3,
12/6/2019,TX,TEXAS-NEW MEXICO POWER COMPANY,75003,TXU ENERGY,Simple Value 12,14.6 cents,12.8 cents,11.9 cents,Fixed,12 months,$150.00,$150.00,6%,PDFs/TXU ENERGY.pdf,Terms of Services/TXU ENERGY.pdf,http://www.txu.com/ptc/simplevalue12,https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=NMXSIMVL1212AE&lang=en&formType=EnergyFactsLabel&custClass=3&tdsp=ER_TNMPOWR,https://www.txu.com/~/media/Files/Marketing/Residential/Other-PDFs/TOSA.pdf,(855) 847-6135,   Taxes and other charges for residential customers may be  different than those for business customers.   The average prices disclosed on  your EFL include recurring charges which are  charges that we expect to  bill you on a regular basis.           What are  TDU non recurring fees ?     What non recurring fees  other than  TDU   fees  can I be charged?      Other Fees      If additional fees apply to your product they will be  described in your  EFL.        TXU Energy Express Pay      You can choose to pa y your bill by credit  card debit card or electronic check for no additional charge by calling our  automated telephone service or by visiting  our website .Average prices per kWh listed above do not include facility relocation fees or other charges ordered by a municipality.DisclosureChartWhat other fees may I be charged?,  ,   CONTRACT EXPIRATION NOTICE   If you  are on   product that has a contract term of at least three months we  will send you a written notice at least  30  days  or one billing cycle prior to  the date of contract expiration but no more than 60 days or two billing  cycles in advance of contract expira tion .   The  contract expiration  notice will let you kn ow  what you need to do if you want to renew your  service  to another term or  change your service plan.     I am   on a product with a term longer than 31 days  what happens if I  terminate my Contract  before it expires?   However you  can  contact TXU Energy  to terminate your Contract without penalty if: (1)   you  move to another location   and provide us with evidence of your move and a  forwarding ad dress ;   (2)   we notify you of a change to the terms and  conditions of your Contract and you terminate within 14 days from the date  the notice is sent; or (3)   you terminate your Contract within 14 days of its  expiration date. ,$9.95,€6.2000¢,,5,
12/6/2019,TX,TEXAS-NEW MEXICO POWER COMPANY,75003,PAYLESS POWER,SmarTricity Transparent 12 - Prepaid Plan,17.6 cents,13.8 cents,12.0 cents,Fixed,12 months,$40.00, ,0%,PDFs/PAYLESS POWER.pdf,Terms of Services/PAYLESS POWER.pdf,https://paylesspower.com/?affiliate=487447,https://paylesspower.com/files/31_5_eng.pdf,https://paylesspower.com/files/TOS_2_Prepaid_English.pdf,(855) 781-6967,  Nonrecurring TDU charges - We will charge  your account for any nonrecurring fees and  charges passed through from the TDU for se rvices they  provide at your service location.  Any non-recurring fees will be itemized separat ely on the Summary of Usage and Payment.  During such times we will continue to provide el ectricity to you but your account will accumulate additional charges and accrue a  negative current balance. The average price for electric service reflec ts the Energy Charge a Daily Customer Fee (for thirty (30) ca lendar days) and all existing recurring charges excluding state and local sales taxes and the State Miscellaneous Gross Receipts Tax reimbursement. The average price for electric se rvice reflects the  applicable Energy Charge the applicable Daily Customer Fee (for  thirty (30) calendar days) and  all existing recurring charges  excluding state and  local sales taxes and the State Miscellaneous Gross Receipts Tax  reimbursement.What other fees may I be charged?,  , Upon expiry  of the term you can  choose another product with us or choose another electricity provider.   We will notify you at least thirty (30) calendar days (or one b illing cycle) prior to the end of the initial term with a contra ct expiration notice. If you take no action your service will automatically continue under  a variable priced month-to-month plan with no cancellatio n penalty. ,,,,2,
12/6/2019,TX,TEXAS-NEW MEXICO POWER COMPANY,75003,PULSE POWER LLC,Texas Fixed 36 ,12.9 cents,12.4 cents,12.1 cents,Fixed,36 months,$20/month remaining ,Yes Pulse Power will assess a termination fee of $20.00,15%,PDFs/PULSE POWER LLC-1.pdf,Terms of Services/PULSE POWER LLC-1.pdf,http://www.pulsepowertexas.com/enrollment?promocode=PTC,https://www.pulsepowertexas.com/EmailHTML/efl.aspx?RateID=454&BrandID=1&PromoCodeID=280,https://www.pulsepowertexas.com/docs/default-source/enrollment-files/tos.pdf,(888) 785-7797,CustomerunderstandsthattheTDUmaychargeanadditionalfeepertheterms ofitsT ariffforaself-selectedswitchandthatCompanywillpass-throughandCustomerwillpayanysuchcostswhich will be passed through without mark-up.Customeris alsoresponsibleforpayinganynonrecurringfeesandchargesfromtheTDUincludingbutnotlimitedtofeesand chargesrelatedtoestablishingdisconnectingreconnectingormaintainingelectricserviceorequipment.00in additiontoanycostschargedtoCompanybytheTDUforsuchservice((a)-(d)collectivelydefinedasFees)taxesor other charges that are assessed to the Customer and excluded from the Price as listed on the Agreement Summary . The above averages exclude non-recurring charges from the TDU other fees as stated in the Terms of Service state and local sales tax the PUC Assessment and gross receipts reimbursements.  Disclosure What other fees may ,  ,UnlessspecificallystatedotherwiseCompanymaydelivercopiesof thisAgreementandotheraccountinformationincludingenrollmentconfirmationandAgreementexpirationnotices viaemail.IntheRenewalNoticeCompanywillexplaintherenewaloptions.Thisauthorizationwillremaininef fectfromthe dateCustomerexecutesthisAgreementthroughtheInitialT ermandanyRenewalT erm.Afinaltrue-upwillbemadeiftheaccountisterminatedorthisAgreementexpiresbutsuchtrueupwilloccuratleasteverytwelve(12)billingcycles.TheTDUwillnotifyCustomerandCompanyofthefinaldeterminationofwhetherCustomerhasbeen designatedasCriticalCareCustomeroraChronicConditionCustomerandwhetherCustomerwillreceivearenewal noticeofCustomer Pleasebeaware thatifCustomeractsafterthe14dayshasexpiredaterminationpenaltyshallapply . TheprovisionsofthisAgreementconcerningpaymentlimitationofliability andwaiverswillsurvivetheterminationor expirationofthisAgreement. ,,$4.95,11.9¢,1,
12/6/2019,TX,TEXAS-NEW MEXICO POWER COMPANY,75003,RELIANT,Reliant Power On 18 plan,13.1 cents,11.8 cents,11.1 cents,Fixed,18 months,$180.00,Yes.   $180. Applies through the end of the contract  term.,10%,PDFs/RELIANT-1.pdf,Terms of Services/RELIANT-1.pdf,http://www.reliant.com/public/startOEProcess.htm?tdspCodeCCS=D0003&fromLP=ptc&txtPromocode=WF3713&s.campaign=A3P_ERCOT_2010JulPTCOffers,https://www.reliant.com/files/0901751882126f66.pdf,https://www.reliant.com/files/0901751881a30018.pdf,(855) 350-8650,     You agree to pay non recurring fees charged by the  transmission and distribution service provider (TDSP) that are  necessary to implemen t and  Non recurring fees by the TDSP may include service connection  disconnection or reconnection fees meter test fees or special out of cycle meter read fees.  The price non recurring  fees and Taxes will be reflected on your monthly bill as Current  Charges. What other fees may I be charged? Returned Payment Charge: $25;  Disconnect Recovery: $30; Late Payment Penalty: 5%  of past due balances; Information on other nonrecurring fees is available in the pricing section of your  Terms of Service.,  ,   We  may also charge    a $10  Disconnect Notice Fee each time we send you a disconnection notice   and   a $ 30   Disconnect Recovery charge if you fail to pay the past due  amount before the expiration date of any disconnection notice issued by  Reliant .  You will not continue to  receive a  bill  if the Third Party Services are scheduled  to cancel   automatically when your electric service contract  with us is cancelled   or  terminated .       Automatic Bank Draft :   You may conveniently pay your bill by  automatic bank draft.  The TDSP will  notify you of the final status of your designation as a Critical Care or  C hronic Condition Residential Customer and will notify you when such  designation will expire and whether you will receive a renewal notice.       Contract Expiration Notice                 A contract expir ation notice will be sent to you at least 30 days  before the end of y our initial contract term specified in your EFL.       Con tract Expiration Notice                 A contract expiration notice will be sent to you at  least 30 days before the end of y our initial contract term  specified in your EFL. ,$5.00,5.6753¢,$7.85,5,
12/6/2019,TX,TEXAS-NEW MEXICO POWER COMPANY,75003,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,16.9 cents,14.1 cents,13.7 cents,Variable,1 months,$0.00, ,16%,PDFs/SOUTHWEST POWER & LIGHT.pdf,Terms of Services/SOUTHWEST POWER & LIGHT.pdf,https://enroll.southwestpl.com,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRTNMPROMOTREE&lang=en,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRTNMPROMOTREE&lang=en,(866) 941-7975,  5 Non-Recurring Fee Schedule of the TDSPs :  The table below itemizes the standard non-recurring fees as charged by your TDSP as of May 23 2017.  All non-recu rring fees are disclosed prior to submitting any transactions  that would generate such non-recurring  fees.What other fees may I becharged?, The price you will  be charged the first month of your electric service (or during  your first billing period if you elect a self-selected switch)  will be equal to the base energy price set forth in  your EFL plus depending on your plan a Minimum Usage Fee or Base  Charge which if applicable will be in addition to your b ase commodity rate per kWh and which if  applicable will be set forth in your EFL (Electricity Facts Labe l) for your applicable plan and produc t plus charges from the  Electric Reliability Council of Texas (95 Minimum Usage Fee (Southwest will not charge theMinimum Usage Fee for each billing cycle in which you use at least 1000 kWhs) andPublic Utility Commission of Texas (,    Term & Renewal:  Your service will begin on your next meter read cycle date (your   If you elected to  authorize monthly payment of your invoices via automatic recurring  (i) withdrawals from your checki ng or savings accounts or ( ii) charges to your credit card then  Southwest may debit your bank account (or charge your credit card)  on or after the third day after the date of the invoice   Consent to Contact Via Text Email Automatic Phone Di aling and the Use of Pre-Recorded Voice Systems:   To further Southwest ,,,$9.95,5,
