
Date Downloaded,State,TDU Service Territory,Zip,Supplier Name,Plan Name,Variable Rate 500kWh,Variable Rate 1000kWh,Variable Rate 2000kWh,Rate Type,Contract Term,Cancellation Fee,Termination Fee Details,Percent Renewable,Fact Sheet Name,Terms of Services Name,URL,Fact Sheet,Terms of Service,Enroll Phone,Additional Fees,Minimum Usage Fee,Renewal Details,Base Charge,Energy Charge,Delivery Charge, Company Rating
12/6/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,75002,AMBIT ENERGY,Ambit Green Texas Flex,18.2 cents,17.4 cents,16.9 cents,Variable,1 months,$0.00,per kWh $0.1287,100%,PDFs/AMBIT ENERGY.pdf,Terms of Services/AMBIT ENERGY.pdf,http://www.ambitenergy.com,https://mediaserver.ambitenergy.com/media/get/TXUNBUNDLED_0ENR1662_283_1/EN,https://mediaserver.ambitenergy.com/media/get/TexasTermsOfService,(877) 282-6248, The price on the EFL does not include non-recurring  fees charged by the TDU Ambit Energy non-recurring fees noted in this  Agreement ERCOT charges fees imposed by any government entity and taxes  all of which will appear as separate line items on your bill and which you agree  to pay as they occur. You may be charged non-recurring fees that  originate from the TDU.    You may be charged non-recurring fees for services Ambit  Energy provides which will apply in cases as described below. The Non-Recurring Ambit Energy Fees  listed below do not include TDU non-recurring fees which will also appear as  separate line items on your bill.  What other fees may ,  , If you fail to renew your electric service contract before it expires  you will automatically continue to be served by Ambit Energy pursuant to a  default variable-price product on a month-to-month basis unless you select  another product or REP. ,$4.95,$0.1287,S0.038447,2,
12/6/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,75002,VETERAN ENERGY LLC,Basic 6 Month,8.0 cents,7.7 cents,7.5 cents,Fixed,6 months,$100.00,yourcontract an Early Termination Fee of $100.00 will apply.,4%,PDFs/VETERAN ENERGY LLC.pdf,Terms of Services/VETERAN ENERGY LLC.pdf,https://signup.veteranenergy.us/?promoCode=PTC&utm_source=Power%20to%20Choose&utm_medium=enroll&utm_campaign=Basic%20Plan&utm_term=6,https://api.veteranenergy.us/enrollments/pdf/electricity-facts-label?businessEntityAliasId=29&ldcName=ONCOR&rateDescriptor=Basic%206&promoCode=PTC,https://api.veteranenergy.us/enrollments/pdf/VE/terms-of-service?languagePreference=es_US,(855) 856-7613,PDF corrupted What other fees may I be charged? For a description of all otherfees see the OTHER FEES section of your Terms of Service.,PDF corrupted  ,PDF corrupted  ,,3.5087¢,$0.00,4,
12/6/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,75002,THINK ENERGY,THINK SIMPLE 24 Power to Choose ONLINE EXCLUSIVE,10.1 cents,9.8 cents,9.6 cents,Fixed,24 months,$175.00, ,6%,PDFs/THINK ENERGY-2.pdf,Terms of Services/THINK ENERGY-2.pdf,https://www.mythinkenergy.com/?promo=tx2ss4qd,https://www.mythinkenergy.com/signup/includes/eflptc.php?utility=ONCOR&term=24&ZipCode=78748&promocode=tx2ss4qd,https://www.mythinkenergy.com/signup/PDFTemplates/contract_api/index.php/contract/TC/state/TX/customer_type/RESI/service/Electric/plan_code/FP10,(888) 531-5047, Taxes  and Non-recurring  Charges are not included in the Price and will be passed  through to you . Think Ene rgy  will invoice you directly for charges due for  each  preceding  billing  cycle including the monthly charges for  electricity consumption and any other charges or fees  described in this Agreement plus any Taxes and TDSP  Delivery and Distribution Charges . The average prices shown reflect all recurring charges excluding state and local  sales taxes.  What other fees may I be charged?,  , If you are  a current customer renewing  with Think Energy  your  new fixed -rate will  take effect  on the  first meter read date  following the date your new  renewal  is processed by  Think Energy  or at the end of your current fixed -rate  term whichever is later . We  will  notify you of your renewal options  at least  30 days  or one (1) billing cycle  and  no longer than  60 days  or two  (2)billing cycles  prior to the end of the  fixed -rate  term. The TDSP will notify you of the  final status of your designation as a Critical Care or  Chronic   Condition Residential Customer and will notify  you when such designation will expire and whether you  will receive a renewal notice. ,,,$0,4,
12/6/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,75002,SPARK ENERGY LLC,Price Protect 24,13.2 cents,11.1 cents,10.9 cents,Fixed,24 months,$100.00,$100.00 .,0%,PDFs/SPARK ENERGY LLC.pdf,Terms of Services/SPARK ENERGY LLC.pdf,https://www.sparkenergy.com/en/products-and-services/enroll/?zip=75001&productid=21384&commodity=Electric&market=ONCOR&utilityId=2&promoCode=&brk_source=&referalid=,https://www.sparkenergy.com/api/enrollment-product-document/21384/EFL/NoPromo/ONCOR/Electric/75001,https://www.sparkenergy.com/api/enrollment-product-document/21384/TOS/NoPromo/ONCOR/Electric/75001,(877) 547-7275,    The Price is subject  to change during the Initial Term of  this Agreement only if there are changes in TDSP  charges; changes to the Electric Reliability Council of  Texas     or Texas Regional Entity   administrative fees charged to loads or changes resulting  from f ederal state or local laws or regulatory actions that  impose new or modified fees or costs   that are beyond       What other fees may I be charged?  Information on other non recurring fees is available in the  Terms of Service in the section labeled    ., 00   $  per   bill month   Minimum   Usage Fee   $8.99   $ per bill month if  usage   ,  ,,6.90,,3,
12/6/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,75002,GREEN MOUNTAIN ENERGY COMPANY,Pollution Free e-Plus 12 Choice,11.5 cents,11.1 cents,10.9 cents,Fixed,12 months,$150.00,Yes. $150. Applies through the end of the contract term.,100%,PDFs/GREEN MOUNTAIN ENERGY COMPANY-1.pdf,Terms of Services/GREEN MOUNTAIN ENERGY COMPANY-1.pdf,https://www.greenmountainenergy.com/gmec-lnd-tx-ptc/?sid=A3P_PTC_ERCOT_2015APR_PFe-P12,https://signup.greenmountain.com/files/0901751881e90d57.pdf,https://signup.greenmountain.com/files/0901751881a3001a.pdf,(844) 854-2260,   We rese rve the right to the extent allowed by PUCT rules to adjust your bill and include any charges or credits necessary to   correct or true up any previous estimated bills meter read errors miscalculations of taxes fees or other charges billing errors and   other errors or omissions.  Itemization of Non Recurring Fees and Charges . Non recurring fees charged by the TDSP may include service connection disconnection or reconnection fees meter test fees   special out of cycle meter read fees and such other fees or charges lawfully imposed by your TDSP.  You are responsible for paying and we may bill yo u for all applicable federal state and local taxes fees governmental   charges assessments and other charges presently or hereafter imposed on you as a purchaser of electricity on Green Mounta in as a   seller of electricity or on electricity sales tra nsactions including but not limited to: reimbursement of miscellaneous gross receipts tax   and PUCT gross receipts assessment; municipal administrative fees; and any other generation utility TDSP regulatory (inclu ding the   PUCT and ERCOT) BTU or electri city taxes fees charges and assessments.   T he applicable per kWh buy back credit amount will be equal to the per kWh  energy  charge payable  by you under your  EFL  for the Renewable Rewards product you are purchasing from Green  Mountain in effect as of the last day of the  applicable billing period  exclusive of any monthly base  applicable taxes and fees or other charges (such as late fees special meter  reading fees and fees related to disconnection or connection of service). What other fees may I be charged?,  , You will receive additional  information about your contract expiration date in a contract   expira tion notice.   If you notify us of your   desire to cancel after the expiration of the three business day period described above we are not   required to cancel your enrollment but you have the right to select another REP and may do so by contacting that REP.     In addition to charges or fees specified elsewhere in this Agreement or otherwise authorized by Law we may assess the   following fees and charges:    ny method of payment including but not limited to bank or   personal check  automatic payment plan account deduction or credit The TDSP will notify you of the final status of  your  designation as a Critical Care or Chronic Condition Residential Customer and will notify you when such designation w ill expire and  whether you will receive a renewal notice.     Contract Expiration Notice   A contract expiration notice will be sent to you at least  30   days (or such other minimum period as may be requ ired   by   applicable Laws) before the end of your initial contract term specified in your EFL. We will  provide participating customers at least 14 day s advance written notice of any material change or discontinuation of the Buy Back  Program; except that (i) any changes to the price you pay for energy delivered by Green Mountain that are made pursuant to th e Terms  of Service for your electricity service  under the Renewable Rewards product will automatically result in a change in the per kWh  value for excess energy to be credited by Green Mountain under the Buy Back Program without advance notice; and (ii) any changes  to the Buy Back Program made by Green  M ountain as a result of a change   in Law or that are beneficial to you may be made without  advance notice. ,$0.00,6.9342¢,$3.42,4,
12/6/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,75002,ENTRUST ENERGY INC,Entrust 18,11.0 cents,10.2 cents,9.8 cents,Fixed,18 months,$150.00,Yes.  Entrust Energy will charge a $ 150.00 Early Termination Penalty if Customer terminates  the Contract.,15%,PDFs/ENTRUST ENERGY INC-3.pdf,Terms of Services/ENTRUST ENERGY INC-3.pdf,http://www.entrustenergy.com/power-to-choose,https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXN1F18D0DG011_20191111_ENG_a45d4395-9603-4829-9fff-25950841d09e.pdf,https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCTMARKETING/Entrust.TOS.06132019.English_af6955f2-6aed-4abc-b8b1-2bbcd3c24103.pdf,(800) 871-8100, Your TDU bills ENTRUST Non-Recurring Charges for a switch request move-in priority move -in out-of-cycle meter read meter installation disconnection  or reconnection. The Non-Recurring Charges are determined by your TDU approved by the PUCT and  are subject to change at the TDU Fees: In addition  to any Non-Recurring Charges you may be charged any of  the following: i) Late Payment Charge equal to five percent (5%)  ofuncontested past due balance(s) owed to ENTRUST  plus interest; ii) Returned Payment Char ge  of up to twenty-five dollars ($25.  The Service Rate Taxes and anyNon-Recurring Chargesare reflected on your bill collectively as 8100 What other fees may I be charged? This price disclosure is an example of the total average price you will pay for electric service reflecting all recurring charges and is based  on the following: Fixed Rate 18 months Yes.,  ,  Renewal of RES : If your Contract Term is greater than thirty-one (31) days at  least thirty (30) days (or one billing cycle) but not  more than sixty (60)  days (or two billing cycles) prior to your Contract  expiration ENTRUST will send you notice thereof. You will receive an EFL for the default month-to-month  renewal Product with  your Contract expiration notice and these TOS still apply.3223; ii)  Personal Check: you may pay by personal check via USPS  to the address stated on your bill; iii) Recurring Bank Draft : you may pay by automatic bank draft  on a recurring basis; iv)  Recurring Credit Card Payment : you may pay by American Express Visa MasterCard or Discover on a recurring basis; v)  Online Account Management : you may view your account online through our My Account pl atform and you may pay by e-check credit or debit card;  vi)Online Through Your Bank : you may pay using your bankcom   Please include the following information: (1) rescission request; (2) your name service address and phone number; and (3) your account number or  ESI ID number  Early Termination of Your Contract: If you terminate your Contract before expiration of your Term (including a switch to a new REP) you agree to  pay the fee for early termination indicated in your EFL if any (  Survival: Obligations regarding indemnity payment lim itations of liability and waivers will su rvive the termination or expiration of  your Contract. ,4.95,5.5,3.8447,1,
12/6/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,75002,PowerNext,PowerNext 15,10.5 cents,10.0 cents,9.7 cents,Fixed,15 months,$20/month remaining ,Yes PowerNext will assess a termination fee of $20.00,15%,PDFs/PowerNext.pdf,Terms of Services/PowerNext.pdf,https://mypowernext.com/enrollment?promocode=PTC,https://www.mypowernext.com/EmailHTML/efl.aspx?RateID=1004&BrandID=4&PromoCodeID=126,https://www.mypowernext.com/docs/default-source/enrollment-files/tos.pdf,(888) 853-5141,CustomerunderstandsthattheTDUmaychargeanadditionalfeepertheterms ofitsT ariffforaself-selectedswitchandthatCompanywillpass-throughandCustomerwillpayanysuchcostswhich will be passed through without mark-up.Customeris alsoresponsibleforpayinganynonrecurringfeesandchargesfromtheTDUincludingbutnotlimitedtofeesand chargesrelatedtoestablishingdisconnectingreconnectingormaintainingelectricserviceorequipment.00in additiontoanycostschargedtoCompanybytheTDUforsuchservice((a)-(d)collectivelydefinedasFees)taxesor other charges that are assessed to the Customer and excluded from the Price as listed on the Agreement Summary . The above averages exclude non-recurring charges from the TDU other fees as stated in the Terms of Service state and local sales tax the PUC Assessment and gross receipts reimbursements. These fees are not What other fees may ,  ,UnlessspecificallystatedotherwiseCompanymaydelivercopiesof thisAgreementandotheraccountinformationincludingenrollmentconfirmationandAgreementexpirationnotices viaemail.IntheRenewalNoticeCompanywillexplaintherenewaloptions.Thisauthorizationwillremaininef fectfromthe dateCustomerexecutesthisAgreementthroughtheInitialT ermandanyRenewalT erm.Afinaltrue-upwillbemadeiftheaccountisterminatedorthisAgreementexpiresbutsuchtrueupwilloccuratleasteverytwelve(12)billingcycles.TheTDUwillnotifyCustomerandCompanyofthefinaldeterminationofwhetherCustomerhasbeen designatedasCriticalCareCustomeroraChronicConditionCustomerandwhetherCustomerwillreceivearenewal noticeofCustomer Pleasebeaware thatifCustomeractsafterthe14dayshasexpiredaterminationpenaltyshallapply . TheprovisionsofthisAgreementconcerningpaymentlimitationofliability andwaiverswillsurvivetheterminationor expirationofthisAgreement. ,,$4.95,9.5¢,1,
12/6/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,75002,OUR ENERGY LLC,FIX ADVANTAGE 12,9.4 cents,9.0 cents,8.9 cents,Fixed,12 months,$125,$125. If you cancel this Agreement before the end of the initial term.,13%,PDFs/OUR ENERGY LLC.pdf,Terms of Services/OUR ENERGY LLC.pdf,https://goo.gl/4cDcCw,https://ourenergyllc.com/prodox/EFLS/october19/FIXADV12ONC09302019.pdf,http://www.ourenergyllc.com/prodox/tos/TOS-09242018-V3.pdf,(888) 545-4687,     TDU Delivery Charges:  TDU Delivery Charges include monthly recurring charges that are passed through to you without  mark up or may be bundled with your Energy Charge or Base Charge depending on your plan. The line items on your monthly  bills can include the Energy Charge(s) Base Charge Monthly Service Fee and TDU Delivery Charges as set forth on your  EFL as well as fees or credits including Residential Usage Credit PUC Assessment fee and other recurring or non recurring  third party fees or credits including taxes gross receipts tax reimbursement late fees customer and metering charges  assessed by Our Energy or your TDU charges for non electric products or services you have requested be included on your   Our Energy bill and other additional charges fees or credits.com   recurring charges.  Additional Charges & Fees:  OUR Energy Services are only a portion of your total monthly bill for delivery of electricity. Non-recurring charges billed by a   TDSP include but are not limited to service connection fees out -of -cycle meter readings meter test fees and disconnection  and reconnection fees. In addition to charges or fees specified elsewhere in this Agreement or  otherwise authorized by law Customer will also pay the following additional fees and charges if applicable:   $. Additionally you remain responsible for any  non-recurring charges from your TDSP. Customer will also be liable for all gross receipts taxes on the electric service   provided by OUR Energy to Customer and all other assessments and other charges imposed by any governmental authority   including but not limited to the PUCT.  Summary of Our Energy Non-Recurring Charges:  Our Energy non-recurring charges set forth above are summarized  below.42 per Billing Cycle  Your Average Price Per kWh each month reflects the Energy Charge and all existing recurring charges (including Transmission and Distribution Utility ( Information on other non-recurring fees is available on your   Disclosure Chart:  What other fees may ,  , Your electricity requirements at the service location or ESI ID  designated by you on your Enrollment or Renewal Form will be served under this Agreement. Your initial length  of service  is indicated  on your Enrollment  or Renewal Form  and      For term products a contract expiration notice will be sent at least 30 days prior to the end of the initial contract term. If you fail to renew your contract with Our Energy or switch to another REP   your service will automatically continue on a monthto- month basis after the expiration of your initial contract  on the OUR-  Default Plan which is a monthly rate plan and may include a monthly customer service fee all of which will be set forth in   the Terms of Service EFL and00 for payments returned for insufficient funds   by any method of payment including but not limited to bank orpersonal check automatic payment plan account deduction or credit In general the following information may be collected  automatically in connection with your use of the products and shared with third parties subject to the specific terms of use   and privacy policy for the product:   Set-up and activation information Information from any app widget or other interface you use to access control or operate your product  Environmental and ambient household data from in-home sensing devices including but not limited to thermostats motion devices  security cameras and lighting Information and usage data about connected appliances and devices including home and individual appliance ,SO,4.9¢,,2,
12/6/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,75002,WINDROSE ENERGY,Windrose Saver 30,9.4 cents,9.1 cents,8.9 cents,Fixed,30 months,$150.00,Yes; $150 One time associated with terminating service?,15%,PDFs/WINDROSE ENERGY.pdf,Terms of Services/WINDROSE ENERGY.pdf,https://signup.windroseenergy.com/Home/index?ProductCode=RNR36000903,https://signup.windroseenergy.com/Home/EFl?productId=89656,https://signup.windroseenergy.com/Home/TOS?productId=85149,(800) 483-1836, The price non-recurring fees and Taxes will be reflected on your monthly bill as Current Charges.  Non-Recurring Fees and Charges  You agree to pay non-recurring fees charged by the transmission and distribution utility (TDU) that are necessary to implement and Non-recurring fees by the TDU may include a meter installation fee connection fee disconnection or reconnection fees meter tampering broken meter seal temporary disconnect Non-recurring fees will appear as a separate line item on your bill.com  energy  Additionally WINDROSE may assess the following Non-Recurring fees as listed below. That average monthly usage will then be multiplied by your contracted price for electricity (which includes all monthly recurring charges and excludes taxes reinbursements non-recurring TDU Charges and other nonrecurring charges) plus an additional 15 percent.  See non-recurring fees and charges section in your Terms of Service fora What other fees may ,   Minimum usage charge of SO will be applied if usage is less than 500 kWh per billing cycle.  Other Key Terms  .,  Any Third-Party Services that are included on your bill will automatically terminate when your electric service contract wth us is cancelled. For electronic fund transfers ACH personal check or automatic payment plan account deduction.  Contract Expiration Notice: A contract expiration notice will be sent to you at least 30 days but not more than 60 days before the end of your initial contract term specified in your EFL. If you do not take action to ensure that you continue to receive service upon the expiration of your contract you will continue to be served by us automatically under a default renewal product on a monthly basis after the end of your initial contract term until you switch to another provider select another WINDROSE electric service plan or we terminate or disconnect your electric service.  Default Renewal Product: The Default Renewal Product applies to customers whose contract term has expired and who have not selected a new fixed rate contract term. Your price will vary according to a method determined by WINDROSE as set forth in the EFL provided with your contract expiration notice. Automatic Bank Draft: You may conveniently pay your bill by automatic bank draft (ACH) wth WINDROSE via Auto Pay. The TDU will notify you of the final status of your designation as a Critical Care or Chronic Condition Residential Customer and will notify you wmmnen such designation will expire and whether you will receive a renewal notice. ,SO,4.9¢,$3.42,5,
12/6/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,75002,PowerNext,PowerNext Fixed 24 ,10.7 cents,10.2 cents,9.9 cents,Fixed,24 months,$20/month remaining ,Yes PowerNext will assess a termination fee of $20.00,15%,PDFs/PowerNext-1.pdf,Terms of Services/PowerNext-1.pdf,https://mypowernext.com/enrollment?promocode=PTC,https://www.mypowernext.com/EmailHTML/efl.aspx?RateID=627&BrandID=4&PromoCodeID=126,https://www.mypowernext.com/docs/default-source/enrollment-files/tos.pdf,(888) 853-5141,CustomerunderstandsthattheTDUmaychargeanadditionalfeepertheterms ofitsT ariffforaself-selectedswitchandthatCompanywillpass-throughandCustomerwillpayanysuchcostswhich will be passed through without mark-up.Customeris alsoresponsibleforpayinganynonrecurringfeesandchargesfromtheTDUincludingbutnotlimitedtofeesand chargesrelatedtoestablishingdisconnectingreconnectingormaintainingelectricserviceorequipment.00in additiontoanycostschargedtoCompanybytheTDUforsuchservice((a)-(d)collectivelydefinedasFees)taxesor other charges that are assessed to the Customer and excluded from the Price as listed on the Agreement Summary . The above averages exclude non-recurring charges from the TDU other fees as stated in the Terms of Service state and local sales tax the PUC Assessment and gross receipts reimbursements. These fees are not What other fees may ,  ,UnlessspecificallystatedotherwiseCompanymaydelivercopiesof thisAgreementandotheraccountinformationincludingenrollmentconfirmationandAgreementexpirationnotices viaemail.IntheRenewalNoticeCompanywillexplaintherenewaloptions.Thisauthorizationwillremaininef fectfromthe dateCustomerexecutesthisAgreementthroughtheInitialT ermandanyRenewalT erm.Afinaltrue-upwillbemadeiftheaccountisterminatedorthisAgreementexpiresbutsuchtrueupwilloccuratleasteverytwelve(12)billingcycles.TheTDUwillnotifyCustomerandCompanyofthefinaldeterminationofwhetherCustomerhasbeen designatedasCriticalCareCustomeroraChronicConditionCustomerandwhetherCustomerwillreceivearenewal noticeofCustomer Pleasebeaware thatifCustomeractsafterthe14dayshasexpiredaterminationpenaltyshallapply . TheprovisionsofthisAgreementconcerningpaymentlimitationofliability andwaiverswillsurvivetheterminationor expirationofthisAgreement. ,,$4.95,9.7¢,1,
